platform_id,camera_offset_x_m,camera_offset_y_m,camera_height_m,camera_yaw_offset_rad,source,notes
xplorer-b,0.206,0.0,0.135,0.0,urdf,"Camera pose relative to base_link."
xplorer-c,0.270,0.0,0.170,0.0,urdf,"Camera pose relative to base_link. A value of 0.160 m was quoted on 21 Aug and 0.170 m on 22 Aug; camera_height_m affects only the z component of the base_link estimate, which this analysis never uses, so the difference does not propagate to any reported result."
