image,day,platform_id,node_name,tag_id,predicted_distance_m,predicted_side_px,u_min,u_max,v_min,v_max,corners_in_frame,fully_in_frame,detected
day1_20260820/logs/20260820_154029/mission_1_hall_entry/start.jpg,day1_20260820,xplorer-c,hall_entry,1,5.151492,16.682992,478.397597,737.532992,190.131653,205.564281,2,no,no
day1_20260820/logs/20260820_154520/mission_1_junction_e1/start.jpg,day1_20260820,xplorer-c,junction_e1,1,5.397102,15.923789,84.49312,228.30064,209.363754,217.802708,4,yes,no
day1_20260820/logs/20260820_155310/mission_1_toilet_m/finish.jpg,day1_20260820,xplorer-c,toilet_m,3,0.319942,268.618309,264.506337,555.79576,276.659448,572.96936,2,no,yes
day1_20260820/logs/20260820_155830/mission_1_cb202/start.jpg,day1_20260820,xplorer-c,cb202,3,2.736068,31.410883,-734.877206,107.802658,137.01883,204.687124,2,no,no
day1_20260820/logs/20260820_160313/mission_1_cb202/start.jpg,day1_20260820,xplorer-b,cb202,3,2.664421,32.255527,200.254397,620.399861,201.804596,226.168704,4,yes,no
day2_20260821/logs/20260821_104534/mission_1_cb202/start.jpg,day2_20260821,xplorer-b,cb202,3,2.807607,30.610516,636.767473,841.63725,209.361136,239.885466,1,no,no
day2_20260821/logs/20260821_105438/mission_1_cb202/start.jpg,day2_20260821,xplorer-b,cb202,3,2.685867,31.997981,470.356905,766.969871,208.520007,235.659522,2,no,no
day2_20260821/logs/20260821_105438/mission_1_cb202/finish.jpg,day2_20260821,xplorer-b,cb202,1,4.396964,19.54583,445.787288,627.685659,195.701091,207.169203,4,yes,no
day2_20260821/logs/20260821_110624/mission_2_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,3,1.92605,44.621008,496.395087,547.526229,225.842685,274.091192,4,yes,yes
day2_20260821/logs/20260821_110624/mission_2_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.248302,346.119894,124.534481,472.115347,186.158171,571.739033,2,no,yes
day2_20260821/logs/20260821_110936/mission_2_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,1.933027,44.459958,348.991471,884.453905,164.300173,207.890986,2,no,no
day2_20260821/logs/20260821_111235/mission_1_cb204/start.jpg,day2_20260821,xplorer-b,cb204,1,5.05064,17.016121,-80.667597,33.429368,210.429507,223.365386,2,no,no
day2_20260821/logs/20260821_111235/mission_1_cb204/start.jpg,day2_20260821,xplorer-b,cb204,3,2.743468,31.326157,613.416978,840.556356,209.18345,240.418123,2,no,no
day2_20260821/logs/20260821_111411/mission_2_plant_3/start.jpg,day2_20260821,xplorer-b,plant_3,4,6.076806,14.142677,331.825216,346.015142,231.930772,246.129216,4,yes,yes
day2_20260821/logs/20260821_111411/mission_3_plant_3/start.jpg,day2_20260821,xplorer-b,plant_3,4,5.088024,16.891097,223.897012,241.137389,231.654414,248.747457,4,yes,yes
