image,kind,day,run_id,platform_id,experiment_id,node_id,node_name,tag_id,tag_side_px,tag_distance_m,reprojection_error_px,camera_height_optical_m,amcl_x,amcl_y,amcl_yaw,amcl_converged,amcl_covariance_trace,tag_x_m,tag_y_m,tag_yaw_rad,dx_m,dy_m,dyaw_deg,range_component_m,lateral_component_m,included,exclusion_reason
day2_20260821/logs/20260821_111411/mission_5_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,21.299584,3.633621,2.372214,0.525699,5.3068,1.7642,-0.0591,True,0.050205,6.515237,4.143232,-0.726176,1.208437,2.379032,-38.220626,-1.208437,-2.379032,no,tag_side_below_80px
day2_20260821/logs/20260821_112225/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_112225,xplorer-b,E3,0,toilet_m,3,126.053243,0.69763,0.293921,0.152698,0.7474,0.0291,-3.0904,True,0.043732,0.918982,-0.019471,-3.061387,0.171582,-0.048571,1.662304,0.171582,-0.048571,yes,
day2_20260821/logs/20260821_113738/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_113738,xplorer-b,E3,0,toilet_m,3,129.229823,0.672724,0.510087,0.195518,0.7281,0.0015,3.0657,True,0.048681,0.888824,-0.023602,3.035019,0.160724,-0.025102,-1.757899,0.160724,-0.025102,yes,
day2_20260821/logs/20260821_115814/mission_1_plant_3/finish.jpg,finish,day2_20260821,20260821_115814,xplorer-c,E3,19,plant_3,1,89.864444,0.997652,2.667339,0.333244,6.4931,-0.7499,-1.4598,True,0.043581,6.815971,-0.687144,-1.721976,0.322871,0.062756,-15.021552,0.062756,-0.322871,no,tag_survey_inconsistent
day2_20260821/logs/20260821_121016/mission_1_cb203_entrance/finish.jpg,finish,day2_20260821,20260821_121016,xplorer-c,E3,22,cb203_entrance,4,115.320807,0.784308,0.232204,0.139718,8.0422,1.622,-0.0003,True,0.136317,8.274885,1.748557,-0.020407,0.232685,0.126557,-1.152038,-0.232685,-0.126557,yes,
day2_20260821/logs/20260821_122544/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_122544,xplorer-c,E3,0,toilet_m,3,161.783111,0.579167,2.645939,0.048472,0.5902,0.1159,3.0271,True,0.024713,0.837842,0.1858,-3.134087,0.247642,0.0699,6.989964,0.247642,0.0699,yes,
day2_20260821/logs/20260821_132616/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_132616,xplorer-b,E7,0,toilet_m,3,120.73829,0.739309,0.341333,0.1856,0.7212,0.045,3.0824,True,0.065796,0.955949,0.013588,3.012244,0.234749,-0.031412,-4.019614,0.234749,-0.031412,yes,
day2_20260821/logs/20260821_132710/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_132710,xplorer-b,E7,0,toilet_m,3,124.920023,0.690932,0.483513,0.165465,0.6354,-0.0857,-3.0729,True,0.077637,0.911558,-0.038764,3.127917,0.276158,0.046936,-4.719341,0.276158,0.046936,yes,
day2_20260821/logs/20260821_135113/mission_2_radiator/start.jpg,start,day2_20260821,20260821_135113,xplorer-b,E7,9,radiator,1,25.12613,3.678955,2.584662,-1.80168,4.4998,1.1671,-1.4582,True,0.025602,6.095596,1.537524,-1.832069,1.595796,0.370424,-21.421124,0.370424,-1.595796,no,tag_side_below_80px
day2_20260821/logs/20260821_165317/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_165317,xplorer-b,E5,0,toilet_m,3,194.981826,0.468836,0.823603,0.101783,0.4432,0.1628,-3.0419,True,0.040803,0.664689,0.177533,-3.073474,0.221489,0.014733,-1.809081,0.221489,0.014733,yes,
day2_20260821/logs/20260821_165320/mission_1_plant_5/start.jpg,start,day2_20260821,20260821_165320,xplorer-c,E5,14,plant_5,3,12.613073,7.303455,0.146233,1.005982,6.4765,1.6903,-3.0502,True,0.106651,7.487532,-0.767841,2.791084,1.011032,-2.458141,-25.31909,1.011032,-2.458141,no,tag_side_below_80px
