min_frequency,consistency_threshold,promoted_count,promoted_candidates
1,0.95,1,"[""wet_gloves""]"
1,0.96,1,"[""wet_gloves""]"
1,0.97,1,"[""wet_gloves""]"
1,0.98,1,"[""wet_gloves""]"
1,0.99,1,"[""wet_gloves""]"
1,1.00,1,"[""wet_gloves""]"
2,0.00,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.01,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.02,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.03,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.04,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.05,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.06,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.07,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.08,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.09,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.10,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.11,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.12,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.13,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.14,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.15,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.16,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.17,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.18,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.19,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.20,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.21,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.22,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.23,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.24,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.25,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.26,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.27,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.28,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.29,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.30,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.31,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.32,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.33,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.34,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.35,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.36,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.37,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.38,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.39,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.40,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.41,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.42,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.43,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.44,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.45,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.46,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.47,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
